LOAN_ID,PORTFOLIO_ID,PORTFOLIO_NAME,FRAUD_TYPE,FRAUD_CONFIRMED_DATE,LOAN_STATUS,LOAN_CLOSED_DATE,REPURCHASED_BY_HAPPY_MONEY,CURRENT_INVESTOR
99235,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
99235,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,2025-01-14,No,Happy Money
110772,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Teachers FCU
110772,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Teachers FCU
110772,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Teachers FCU
110772,83,Teachers FCU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Teachers FCU
110772,83,Teachers FCU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Teachers FCU
117922,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
117922,18,Fraud - Declined,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
117922,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
117922,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
117922,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
117922,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
123484,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
123484,77,Alliant CU,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
123484,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
123484,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
123484,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-14,Charged Off,,No,Alliant CU
82482,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-13,Charged Off,,No,Teachers FCU
82482,83,Teachers FCU,TBD - Needs Business Logic,2025-01-13,Charged Off,,No,Teachers FCU
82482,83,Teachers FCU,TBD - Needs Business Logic,2025-01-13,Charged Off,,No,Teachers FCU
82482,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-13,Charged Off,,No,Teachers FCU
82482,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-13,Charged Off,,No,Teachers FCU
86558,98,First Party Fraud - Confirmed,TBD - Needs Business Logic,2025-01-09,Charged Off,,No,Alliant CU
86558,196,BankruptcyWatch Integration,TBD - Needs Business Logic,2025-01-09,Charged Off,,No,Alliant CU
86558,77,Alliant CU,TBD - Needs Business Logic,2025-01-09,Charged Off,,No,Alliant CU
86558,77,Alliant CU,TBD - Needs Business Logic,2025-01-09,Charged Off,,No,Alliant CU
86558,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-09,Charged Off,,No,Alliant CU
123369,86,GreenState CU,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
123369,193,Bankruptcy Monitoring,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
123369,75,Do Not Mail,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
123369,74,Do Not Email,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
123369,86,GreenState CU,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
123369,73,Do Not SMS,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
123369,17,Identity Theft Fraud - Confirmed,TBD - Needs Business Logic,2025-01-09,Charged Off,2025-01-09,No,Happy Money
